[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=False, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary False
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 66 | train_loss 0.7515 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:04 | ETA 0:56:20
[INFO] er_baseline.py:202 > Train | Sample # 68 | train_loss 0.9800 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:04 | ETA 0:56:04
[INFO] er_baseline.py:202 > Train | Sample # 70 | train_loss 1.0287 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:04 | ETA 0:55:27
[INFO] er_baseline.py:202 > Train | Sample # 72 | train_loss 0.8809 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:04 | ETA 0:55:06
[INFO] er_baseline.py:202 > Train | Sample # 74 | train_loss 0.9308 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:04 | ETA 0:54:24
[INFO] er_baseline.py:202 > Train | Sample # 76 | train_loss 0.6693 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:04 | ETA 0:54:10
[INFO] er_baseline.py:202 > Train | Sample # 78 | train_loss 0.8933 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:05 | ETA 0:53:32
[INFO] er_baseline.py:202 > Train | Sample # 80 | train_loss 0.8815 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:05 | ETA 0:53:19
[INFO] er_baseline.py:202 > Train | Sample # 82 | train_loss 0.8147 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:05 | ETA 0:52:46
[INFO] er_baseline.py:202 > Train | Sample # 84 | train_loss 0.8897 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:05 | ETA 0:52:36
[INFO] er_baseline.py:202 > Train | Sample # 86 | train_loss 0.9913 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:05 | ETA 0:52:04
