[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=True, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary True
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 66 | train_loss 1.3086 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:11 | ETA 2:25:20
[INFO] er_baseline.py:202 > Train | Sample # 68 | train_loss 1.8293 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:11 | ETA 2:25:17
[INFO] er_baseline.py:202 > Train | Sample # 70 | train_loss 1.8263 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:12 | ETA 2:25:05
[INFO] er_baseline.py:202 > Train | Sample # 72 | train_loss 1.1201 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:12 | ETA 2:25:10
[INFO] er_baseline.py:202 > Train | Sample # 74 | train_loss 1.3553 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:12 | ETA 2:25:27
[INFO] er_baseline.py:202 > Train | Sample # 76 | train_loss 0.9988 | train_acc 0.7500 | lr 0.000285 | running_time 0:00:13 | ETA 2:25:29
[INFO] er_baseline.py:202 > Train | Sample # 78 | train_loss 0.8608 | train_acc 0.7500 | lr 0.000285 | running_time 0:00:13 | ETA 2:25:32
[INFO] er_baseline.py:202 > Train | Sample # 80 | train_loss 1.1037 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:13 | ETA 2:25:31
[INFO] er_baseline.py:202 > Train | Sample # 82 | train_loss 1.0973 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:14 | ETA 2:25:31
[INFO] er_baseline.py:202 > Train | Sample # 84 | train_loss 1.4479 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:14 | ETA 2:25:29
[INFO] er_baseline.py:202 > Train | Sample # 86 | train_loss 1.2026 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:15 | ETA 2:25:34
[INFO] er_baseline.py:202 > Train | Sample # 88 | train_loss 0.9409 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:15 | ETA 2:25:32
[INFO] er_baseline.py:202 > Train | Sample # 90 | train_loss 1.4424 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:15 | ETA 2:25:36
[INFO] er_baseline.py:202 > Train | Sample # 92 | train_loss 0.8057 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:16 | ETA 2:25:36
[INFO] er_baseline.py:202 > Train | Sample # 94 | train_loss 1.2189 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:16 | ETA 2:24:33
[INFO] er_baseline.py:202 > Train | Sample # 96 | train_loss 0.7418 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:16 | ETA 2:23:22
[INFO] er_baseline.py:202 > Train | Sample # 98 | train_loss 1.2490 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:16 | ETA 2:21:53
[INFO] er_baseline.py:202 > Train | Sample # 100 | train_loss 0.8564 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:16 | ETA 2:20:55
[INFO] er_baseline.py:212 > Test | Sample # 100 | test_loss 4.1692 | test_acc 0.2176 | 
[INFO] er_baseline.py:202 > Train | Sample # 102 | train_loss 1.4148 | train_acc 0.3750 | lr 0.000285 | running_time 0:00:19 | ETA 2:36:47
[INFO] er_baseline.py:202 > Train | Sample # 104 | train_loss 1.1588 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:19 | ETA 2:35:25
[INFO] er_baseline.py:202 > Train | Sample # 106 | train_loss 0.8592 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:19 | ETA 2:33:58
[INFO] er_baseline.py:202 > Train | Sample # 108 | train_loss 0.8228 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:19 | ETA 2:32:27
[INFO] er_baseline.py:202 > Train | Sample # 110 | train_loss 0.6509 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:20 | ETA 2:31:10
[INFO] er_baseline.py:202 > Train | Sample # 112 | train_loss 1.4648 | train_acc 0.3438 | lr 0.000285 | running_time 0:00:20 | ETA 2:30:11
[INFO] er_baseline.py:202 > Train | Sample # 114 | train_loss 1.4634 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:20 | ETA 2:28:52
[INFO] er_baseline.py:202 > Train | Sample # 116 | train_loss 2.3724 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:20 | ETA 2:27:53
[INFO] er_baseline.py:202 > Train | Sample # 118 | train_loss 1.0946 | train_acc 0.7500 | lr 0.000285 | running_time 0:00:20 | ETA 2:26:35
[INFO] er_baseline.py:202 > Train | Sample # 120 | train_loss 1.5478 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:21 | ETA 2:25:43
[INFO] er_baseline.py:202 > Train | Sample # 122 | train_loss 1.3016 | train_acc 0.4062 | lr 0.000300 | running_time 0:00:21 | ETA 2:24:49
[INFO] er_baseline.py:202 > Train | Sample # 124 | train_loss 1.1460 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:21 | ETA 2:23:38
[INFO] er_baseline.py:202 > Train | Sample # 126 | train_loss 0.9273 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:21 | ETA 2:22:35
[INFO] er_baseline.py:202 > Train | Sample # 128 | train_loss 1.3638 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:21 | ETA 2:21:42
[INFO] er_baseline.py:202 > Train | Sample # 130 | train_loss 0.6763 | train_acc 0.8125 | lr 0.000300 | running_time 0:00:22 | ETA 2:20:53
[INFO] er_baseline.py:202 > Train | Sample # 132 | train_loss 2.5650 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:22 | ETA 2:20:12
[INFO] er_baseline.py:202 > Train | Sample # 134 | train_loss 1.2633 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:22 | ETA 2:19:25
[INFO] er_baseline.py:202 > Train | Sample # 136 | train_loss 1.1712 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:22 | ETA 2:18:42
[INFO] er_baseline.py:202 > Train | Sample # 138 | train_loss 0.8249 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:22 | ETA 2:18:12
[INFO] er_baseline.py:202 > Train | Sample # 140 | train_loss 1.5326 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:23 | ETA 2:17:32
[INFO] er_baseline.py:202 > Train | Sample # 142 | train_loss 2.5828 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:23 | ETA 2:16:59
[INFO] er_baseline.py:202 > Train | Sample # 144 | train_loss 0.7271 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:23 | ETA 2:16:19
[INFO] er_baseline.py:202 > Train | Sample # 146 | train_loss 1.0383 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:23 | ETA 2:15:52
[INFO] er_baseline.py:202 > Train | Sample # 148 | train_loss 1.4692 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:24 | ETA 2:15:13
[INFO] er_baseline.py:202 > Train | Sample # 150 | train_loss 0.9874 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:24 | ETA 2:14:35
[INFO] er_baseline.py:202 > Train | Sample # 152 | train_loss 0.8172 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:24 | ETA 2:14:01
[INFO] er_baseline.py:202 > Train | Sample # 154 | train_loss 0.5793 | train_acc 0.8438 | lr 0.000285 | running_time 0:00:24 | ETA 2:13:27
[INFO] er_baseline.py:202 > Train | Sample # 156 | train_loss 0.8809 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:24 | ETA 2:13:03
[INFO] er_baseline.py:202 > Train | Sample # 158 | train_loss 0.8856 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:25 | ETA 2:12:29
[INFO] er_baseline.py:202 > Train | Sample # 160 | train_loss 0.9244 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:25 | ETA 2:12:04
[INFO] er_baseline.py:202 > Train | Sample # 162 | train_loss 1.8478 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:25 | ETA 2:11:44
[INFO] er_baseline.py:202 > Train | Sample # 164 | train_loss 1.1415 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:25 | ETA 2:11:20
[INFO] er_baseline.py:202 > Train | Sample # 166 | train_loss 0.8089 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:26 | ETA 2:10:53
[INFO] er_baseline.py:202 > Train | Sample # 168 | train_loss 1.5259 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:26 | ETA 2:10:28
[INFO] er_baseline.py:202 > Train | Sample # 170 | train_loss 1.0560 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:26 | ETA 2:10:14
[INFO] er_baseline.py:202 > Train | Sample # 172 | train_loss 1.2834 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:26 | ETA 2:09:47
[INFO] er_baseline.py:202 > Train | Sample # 174 | train_loss 0.9154 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:27 | ETA 2:09:21
[INFO] er_baseline.py:202 > Train | Sample # 176 | train_loss 1.2309 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:27 | ETA 2:09:02
[INFO] er_baseline.py:202 > Train | Sample # 178 | train_loss 0.8454 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:27 | ETA 2:08:40
[INFO] er_baseline.py:202 > Train | Sample # 180 | train_loss 0.7356 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:27 | ETA 2:08:20
[INFO] er_baseline.py:202 > Train | Sample # 182 | train_loss 0.9207 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:28 | ETA 2:07:46
[INFO] er_baseline.py:202 > Train | Sample # 184 | train_loss 1.2942 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:28 | ETA 2:07:13
[INFO] er_baseline.py:202 > Train | Sample # 186 | train_loss 0.8556 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:28 | ETA 2:06:41
[INFO] er_baseline.py:202 > Train | Sample # 188 | train_loss 0.9474 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:28 | ETA 2:06:10
[INFO] er_baseline.py:202 > Train | Sample # 190 | train_loss 0.5409 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:28 | ETA 2:05:38
[INFO] er_baseline.py:202 > Train | Sample # 192 | train_loss 1.4324 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:28 | ETA 2:05:10
[INFO] er_baseline.py:202 > Train | Sample # 194 | train_loss 1.2153 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:29 | ETA 2:04:39
[INFO] er_baseline.py:202 > Train | Sample # 196 | train_loss 1.2736 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:29 | ETA 2:04:10
[INFO] er_baseline.py:202 > Train | Sample # 198 | train_loss 0.9064 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:29 | ETA 2:03:43
[INFO] er_baseline.py:202 > Train | Sample # 200 | train_loss 0.9631 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:29 | ETA 2:03:16
[INFO] er_baseline.py:212 > Test | Sample # 200 | test_loss 4.6027 | test_acc 0.2732 | 
[INFO] er_baseline.py:202 > Train | Sample # 202 | train_loss 0.6144 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:32 | ETA 2:13:00
[INFO] er_baseline.py:202 > Train | Sample # 204 | train_loss 0.7956 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:32 | ETA 2:12:31
[INFO] er_baseline.py:202 > Train | Sample # 206 | train_loss 1.0976 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:32 | ETA 2:12:01
[INFO] er_baseline.py:202 > Train | Sample # 208 | train_loss 0.9764 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:32 | ETA 2:11:36
[INFO] er_baseline.py:202 > Train | Sample # 210 | train_loss 0.9120 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:33 | ETA 2:11:16
[INFO] er_baseline.py:202 > Train | Sample # 212 | train_loss 0.5960 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:33 | ETA 2:10:47
[INFO] er_baseline.py:202 > Train | Sample # 214 | train_loss 0.9418 | train_acc 0.7188 | lr 0.000300 | running_time 0:00:33 | ETA 2:10:18
[INFO] er_baseline.py:202 > Train | Sample # 216 | train_loss 1.2489 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:33 | ETA 2:09:44
[INFO] er_baseline.py:202 > Train | Sample # 218 | train_loss 1.3531 | train_acc 0.5312 | lr 0.000300 | running_time 0:00:33 | ETA 2:09:23
[INFO] er_baseline.py:202 > Train | Sample # 220 | train_loss 0.7698 | train_acc 0.7188 | lr 0.000300 | running_time 0:00:34 | ETA 2:08:59
[INFO] er_baseline.py:202 > Train | Sample # 222 | train_loss 1.2377 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:34 | ETA 2:08:34
[INFO] er_baseline.py:202 > Train | Sample # 224 | train_loss 1.4468 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:34 | ETA 2:08:13
[INFO] er_baseline.py:202 > Train | Sample # 226 | train_loss 0.9730 | train_acc 0.7812 | lr 0.000285 | running_time 0:00:34 | ETA 2:07:55
[INFO] er_baseline.py:202 > Train | Sample # 228 | train_loss 1.0140 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:35 | ETA 2:07:31
[INFO] er_baseline.py:202 > Train | Sample # 230 | train_loss 0.8693 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:35 | ETA 2:07:07
[INFO] er_baseline.py:202 > Train | Sample # 232 | train_loss 0.6265 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:35 | ETA 2:06:38
[INFO] er_baseline.py:202 > Train | Sample # 234 | train_loss 1.3018 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:35 | ETA 2:06:21
[INFO] er_baseline.py:202 > Train | Sample # 236 | train_loss 0.4342 | train_acc 0.8125 | lr 0.000285 | running_time 0:00:35 | ETA 2:06:02
[INFO] er_baseline.py:202 > Train | Sample # 238 | train_loss 1.5296 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:36 | ETA 2:05:46
[INFO] er_baseline.py:202 > Train | Sample # 240 | train_loss 1.1774 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:36 | ETA 2:05:30
[INFO] er_baseline.py:202 > Train | Sample # 242 | train_loss 0.4739 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:36 | ETA 2:05:15
[INFO] er_baseline.py:202 > Train | Sample # 244 | train_loss 1.4558 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:36 | ETA 2:05:06
[INFO] er_baseline.py:202 > Train | Sample # 246 | train_loss 0.8924 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:37 | ETA 2:04:51
[INFO] er_baseline.py:202 > Train | Sample # 248 | train_loss 1.3448 | train_acc 0.7188 | lr 0.000300 | running_time 0:00:37 | ETA 2:04:46
[INFO] er_baseline.py:202 > Train | Sample # 250 | train_loss 1.6572 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:37 | ETA 2:04:27
[INFO] er_baseline.py:202 > Train | Sample # 252 | train_loss 1.1641 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:37 | ETA 2:04:15
[INFO] er_baseline.py:202 > Train | Sample # 254 | train_loss 1.2539 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:38 | ETA 2:04:03
[INFO] er_baseline.py:202 > Train | Sample # 256 | train_loss 0.8711 | train_acc 0.7188 | lr 0.000300 | running_time 0:00:38 | ETA 2:03:55
[INFO] er_baseline.py:202 > Train | Sample # 258 | train_loss 1.5432 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:38 | ETA 2:03:45
[INFO] er_baseline.py:202 > Train | Sample # 260 | train_loss 0.7024 | train_acc 0.7812 | lr 0.000300 | running_time 0:00:38 | ETA 2:03:31
[INFO] er_baseline.py:202 > Train | Sample # 262 | train_loss 1.1790 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:38 | ETA 2:03:12
[INFO] er_baseline.py:202 > Train | Sample # 264 | train_loss 1.1286 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:39 | ETA 2:02:49
[INFO] er_baseline.py:202 > Train | Sample # 266 | train_loss 0.9291 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:39 | ETA 2:02:31
[INFO] er_baseline.py:202 > Train | Sample # 268 | train_loss 0.9396 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:39 | ETA 2:02:08
[INFO] er_baseline.py:202 > Train | Sample # 270 | train_loss 1.0036 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:39 | ETA 2:01:50
[INFO] er_baseline.py:202 > Train | Sample # 272 | train_loss 1.7040 | train_acc 0.4062 | lr 0.000285 | running_time 0:00:39 | ETA 2:01:32
[INFO] er_baseline.py:202 > Train | Sample # 274 | train_loss 1.3418 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:40 | ETA 2:01:10
[INFO] er_baseline.py:202 > Train | Sample # 276 | train_loss 1.2559 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:40 | ETA 2:00:53
[INFO] er_baseline.py:202 > Train | Sample # 278 | train_loss 1.2348 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:40 | ETA 2:00:31
